student_id,first_name,last_name,address,state,dob,phone_number,,gender
38,James,Gutierrez,"53295 Owen Row
New Margaret, PA 92872",AL,5/10/1918,105.042.19189112,,M
39,Ann,Sanchez,"644 Felicia Hills
Aliciaville, CT 07692",TN,2/20/1908,001-904-223-260150740,,F
40,Rhonda,Bonilla,"1232 Lee Station Suite 773
Whitehaven, NJ 78362",AL,10/8/2000,9802652897,,F
41,Tiffany,Morrison,"482 Larry Ports Suite 632
Alexischester, NE 01162",MD,10/6/1981,804-151-9842639,,F
42,Matthew,Medina,"USNV Jones
FPO AE 88415",NC,5/28/1942,8729704854,,M
43,Howard,Tanner,"108 Gibbs Brook Apt. 917
South Richardport, AK 40321",NV,11/11/1967,570.055.0412,,M
44,Katherine,Martinez,"PSC 8228, Box 3065
APO AA 89785",KY,8/6/2008,144.085.237319327,,F
45,Makayla,Williams,"44547 Alvarez Turnpike
Port Erica, MO 26481",UT,2/1/1992,957-468-0184,,F
46,Mary,Norton,"750 Hopkins Mountains
Josephshire, ND 72612",VT,3/16/1984,661.307.5059935,,F
47,Jasmine,Jordan,"826 Karen Brook
Payneborough, AK 75970",IN,11/9/1910,(221)601-3075,,F
48,Olivia,Wood,"072 Summers Brooks Apt. 742
Meganview, VT 58145",IL,1/17/2013,+1-865-774-45181266,,F
49,Daniel,Wood,"1875 Crystal Loaf Apt. 394
Port Garyberg, OH 92814",NY,1/12/2016,(067)484-6738,,M
50,Madison,Moore,"12611 Cobb Passage
Port Adam, WY 83042",MI,6/19/2000,001-663-619-61222392,,F
